Bank,date,cheque number,amount,name
QNB,2025-12-31,57030083,554125.00,.sriFشركة بالم هيلز للتعمير
QNB,2025-11-30,57030082,16893.00,شركة بالم هيلز للتعمير
QNB,2026-03-31,57030086,21116.00,tSTIF BNIOشركة بالم هيلزللتعمير
QNB,2026-04-30,57030087,21116.00,الفع
QNB,2026-01-31,57030084,21116.00,شركة بالم هيلز للتعميرtsriF BNQ
QNB,2026-02-28,57030085,21116.00,tsriFBNJشركةبالم هيلز للتعمير
QNB,2026-09-30,63638666,21116.00,شركة بالم هيلز للتعمير
QNB,2026-08-31,63638665,21116.00,شركة بالمهيلز للتعمير
QNB,2026-06-30,63638663,21116.00,شركة بالم هيلز للتعمير
QNB,2026-05-31,57030088,21116.00,شركة بالم هيلز للتعمير
QNB,2024-07-31,63638664,21116.00,شركةبالمهيلزللتعمير
QNB,2026-11-30,63638668,21116.00,شركةبالم هيلز للتعمير
QNB,28/Eeb/2027..,63638671,26395.00,شركةبالم هيلز للتعمير
QNB,2027-03-31,63638672,26395.00,شركةبالم هيلزللتعمير
QNB,,63638669,579313.00,شركة بالم هيلزللتعمير
QNB,,63638670,26395.00,شركة بالم هيلز للتعمير
QNB,,63638673,26395.00,شركة بالم هيلز للتعمير
QNB,2027-05-31,63638674,26395.00,شركة بالم هيلز للتعمير
QNB,,63638675,26395.00,شركة بالمهيلزللتعمير
QNB,31/1ul/2027,63638676,26395.00,شركةبالم هيلزللتعمير
QNB,,63638677,26395.00,شركة بالمهيلزللتعمير
QNB,31/0ct/2026,63638667,21116.00,شركة بالم هيلز للتعمير
QNB,,63638678,26395.00,شركةبالم هيلز للتعمير
QNB,2031-12-31,69177690,705250.00,tsriF BNOشركة بالم هيلز للتعمير
